text,label
No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,ham
Where did u go? My phone is gonna die you have to stay in here,ham
"alright, I'll make sure the car is back tonight",ham
These won't do. Have to move on to morphine,ham
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,ham
U sick still can go shopping?,ham
Whatsup there. Dont u want to sleep,ham
here is my new address -apples&pairs&all that malarky,ham
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",ham
Yo guess what I just dropped,ham
"It's that time of the week again, ryan",ham
Lol enjoy role playing much?,ham
Do u knw dis no. &lt;#&gt; ?,ham
Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,ham
4 oclock at mine. Just to bash out a flat plan.,ham
Excellent! Are you ready to moan and scream in ecstasy?,ham
Jus finish blowing my hair. U finish dinner already?,ham
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,ham
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
WOT U UP 2 J?,ham
I like dis sweater fr mango but no more my size already so irritating.,ham
Oic... Then better quickly go bathe n settle down...,ham
If he started searching he will get job in few days.he have great potential and talent.,ham
Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,ham
I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,ham
Company is very good.environment is terrific and food is really nice:),ham
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,ham
Dear are you angry i was busy dear,ham
"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",ham
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham
Ringtone Club: Gr8 new polys direct to your mobile every week !,ham
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,ham
"URGENT! Your Mobile No 07808726822 was awarded a ??2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam
Ard 530 like dat lor. We juz meet in mrt station then ?_ dun haf to come out.,ham
Lmao you know me so well...,ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam
I'm okay. Chasing the dream. What's good. What are you doing next.,ham
"That's good, because I need drugs",ham
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",ham
Oops i thk i dun haf enuff... I go check then tell ?_..,ham
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",ham
Yep then is fine 7.30 or 8.30 for ice age.,ham
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,ham
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",ham
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",ham
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
Great! So what attracts you to the brothas?,ham
Then any special there?,ham
Nite...,ham
S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),ham
FREE entry into our ??250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam
Omg how did u know what I ate?,ham
She.s find. I sent you an offline message to know how anjola's now.,ham
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,ham
Sac needs to carry on:),ham
What is this 'hex' place you talk of? Explain!,ham
As a registered optin subscriber ur draw 4 ??100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam
O shore are you takin the bus,ham
"Yeah I should be able to, I'll text you when I'm ready to meet up",ham
Dear we got  &lt;#&gt;  dollars hi hi,ham
His frens go then he in lor. Not alone wif my mum n sis lor.,ham
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,ham
Reply to win ??100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,spam
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",ham
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam
Do ?_ noe if ben is going?,ham
Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham
"Sure thing big man. i have hockey elections at 6, shouldn‰??t go on longer than an hour though",ham
Wrong phone! This phone! I answer this one but assume the other is people i don't well,ham
U in town alone?,ham
dont make ne plans for nxt wknd coz she wants us to come down then ok,ham
Then u go back urself lor...,ham
I like cheap! But i‰??m happy to splash out on the wine if it makes you feel better..,ham
He also knows about lunch menu only da. . I know,ham
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham
"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",ham
Jus finished avatar nigro,ham
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,ham
"Sorry, I'll call later",ham
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham
Was doing my test earlier. I appreciate you. Will call you tomorrow.,ham
FREE entry into our ??250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam
Booked ticket for pongal?,ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a ??150 prize. To collect is easy. Just call 09061743386,spam
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),ham
Somebody set up a website where you can play hold em using eve online spacebucks,ham
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham
I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,ham
Do you like shaking your booty on the dance floor?,ham
Jordan got voted out last nite!,ham
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham
Hey tmr meet at bugis 930 ?,ham
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam
Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,ham
"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",ham
Lol ok. I'll snatch her purse too.,ham
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",ham
Detroit. The home of snow. Enjoy it.,ham
Ok no prob... I'll come after lunch then...,ham
Captain vijaykanth is doing comedy in captain tv..he is drunken :),ham
K...k:)why cant you come here and search job:),ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam
Love that holiday Monday feeling even if I have to go to the dentists in an hour,ham
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,ham
"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",ham
Glad to see your reply.,ham
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
Its sunny in california. The weather's just cool,ham
Good Morning plz call me sir,ham
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam
Stupid.its not possible,ham
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",ham
I am on the way to ur home,ham
Hi :)finally i completed the course:),ham
No one interested. May be some business plan.,ham
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,ham
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,spam
K.k.how is your business now?,ham
She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,ham
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham
After completed degree. There is no use in joining finance.,ham
Wat r u doing now?,ham
So do you have samus shoulders yet,ham
"Nah can't help you there, I've never had an iphone",ham
But i'll b going 2 sch on mon. My sis need 2 take smth.,ham
645,ham
Most of the tiime when i don't let you hug me it's so i don't break into tears.,ham
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
I cant pick the phone right now. Pls send a message,ham
You didnt complete your gist oh.,ham
"Aight, I'll text you when I'm back",ham
Stop knowing me so well!,ham
When you came to hostel.,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
Will it help if we propose going back again tomorrow,ham
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham
\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also bought??braindance??a comp.ofstuff on aphex??s ;abel,ham
Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham
You stayin out of trouble stranger!!saw Dave the other day he??s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,ham
Anything lar then ?_ not going home 4 dinner?,ham
Yes princess! I want to catch you with my big strong hands...,ham
Ha... U jus ate honey ar? So sweet...,ham
"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",ham
